New York,12588066
Pennsylvania,9631350
Illinois,7630654
Ohio,6646697
Texas,5824715
California,5677251
Michigan,4842325
Massachusetts,4249614
New Jersey,4041334
Missouri,3629367
Indiana,3238503
North Carolina,3170276
Wisconsin,2939006
Georgia,2908506
Alabama,2646248
Tennessee,2616556
Kentucky,2614589
Minnesota,2563953
Iowa,2470939
Virginia,2421851
Oklahoma,2396040
Louisiana,2101593
Mississippi,2009821
Kansas,1880999
Arkansas,1854482
South Carolina,1738765
West Virginia,1729205
Maryland,1631526
Connecticut,1606903
Washington,1563396
Florida,1468211
Nebraska,1377963
Colorado,1035791
Oregon,953786
Maine,797423
South Dakota,692849
Rhode Island,687497
North Dakota,680845
Montana,537606
Utah,507847
New Hampshire,465293
Idaho,445032
Arizona,435573
New Mexico,423317
Vermont,359611
Delaware,238380
Wyoming,225565
Nevada,91058
